yyyy-mm-ddTHH:MM:SSZ, OL_31.5, OL_63, OL_125, OL_250, OL_500, OL_1k, OL_2k, OL_4k, OL_8k, OL_16k, OL_32k, 
2018-11-04T13:00:02Z,109.139986,90.240682,82.249701,84.238623,84.844846,90.780315,102.598028,112.347714,115.200424,112.848718,109.793223, 
2018-11-04T14:00:02Z,109.483114,92.239725,94.26957,96.83355,96.589092,96.841455,103.91599,112.596488,114.93162,112.173045,108.766323, 
2018-11-04T15:00:02Z,106.308279,89.129794,86.603393,90.941219,95.265276,94.264471,101.665305,110.587629,112.792883,110.101297,106.590603, 
2018-11-04T16:00:02Z,108.126902,88.284841,81.189862,84.550873,83.884309,89.576855,101.169558,110.526144,112.439582,109.818846,106.310252, 
2018-11-04T17:00:02Z,109.236046,90.692897,90.715136,92.116233,91.145005,94.186555,101.530179,109.692031,111.745394,109.180085,105.888817, 
2018-11-04T18:00:02Z,110.914113,92.183317,84.424522,83.428008,83.773566,89.338647,100.773383,109.738295,111.781437,109.29735,105.948191, 
2018-11-04T19:00:02Z,106.292796,90.904653,102.039997,105.118257,102.132835,100.469842,105.121452,110.892641,111.580239,109.031336,105.577864, 
2018-11-04T20:00:02Z,110.75841,90.981288,84.849596,82.911927,83.144757,89.050519,99.99958,108.918896,110.899341,108.262098,104.94934, 
2018-11-04T21:00:02Z,107.507142,90.598881,91.066332,89.881768,89.377026,91.271767,100.497036,109.268629,111.04252,108.50208,105.163879, 
2018-11-04T22:00:02Z,107.984099,90.617083,85.794654,88.043194,88.827273,90.983621,99.592642,109.028558,111.092449,108.253885,104.823858, 
2018-11-04T23:00:02Z,108.330001,90.505542,85.167102,86.992773,90.216666,92.802796,100.582165,109.776519,111.816912,109.052835,105.681971, 
2018-11-05T00:00:02Z,107.46716,89.56408,84.673965,87.856197,91.048427,93.549588,101.355498,110.513895,112.821552,110.099785,106.875815, 
2018-11-05T01:00:02Z,111.211441,92.699829,87.227232,92.527812,94.632849,95.734512,102.922593,112.309336,114.894281,112.474927,109.458315, 
2018-11-05T02:00:02Z,107.927165,90.887092,86.268137,91.582212,92.862996,94.497399,102.526885,111.555144,114.415194,112.247669,109.324211, 
2018-11-05T03:00:02Z,108.750933,91.125059,86.789945,90.913455,93.447243,95.094211,101.655477,110.763666,113.775383,111.491586,108.498631, 
2018-11-05T04:00:02Z,110.567662,92.121604,87.265169,90.959084,93.763116,95.523729,102.060589,111.065598,114.023573,111.713061,108.591627, 
2018-11-05T05:00:02Z,109.471842,92.660822,87.878127,90.639299,93.223564,95.104888,102.423062,111.52501,114.576178,112.160813,109.122202, 
2018-11-05T06:00:02Z,109.598849,93.832322,88.098696,88.982123,91.834621,94.240321,102.32486,111.786134,114.780343,112.507092,109.65872, 
2018-11-05T07:00:02Z,111.550843,95.726345,88.388786,87.324035,90.551958,93.749792,103.382458,112.28973,114.94678,112.869077,110.066951, 
2018-11-05T08:00:02Z,111.022364,96.597068,89.827486,85.844825,88.232074,92.43475,102.727357,112.214347,115.024727,112.862893,110.006652, 
2018-11-05T09:00:02Z,111.92899,97.896134,90.91073,83.838736,85.54057,91.410988,102.703789,112.283881,115.093903,112.926989,110.005183, 
2018-11-05T10:00:02Z,111.461383,96.390873,89.622045,84.101538,86.178954,91.620597,103.018382,112.247092,114.899141,112.680337,109.710705, 
2018-11-05T11:00:02Z,109.929382,95.135521,88.471282,83.321287,85.333806,90.523397,102.44813,112.111999,114.887731,112.738582,109.797904, 
2018-11-05T12:00:02Z,108.03996,90.465008,84.647506,83.193184,84.754678,90.18211,102.745512,112.27152,115.139301,112.952665,110.109063, 
2018-11-05T13:00:02Z,108.011871,89.786032,87.078643,85.851228,84.661131,90.41145,102.780019,112.627225,115.395337,113.088078,110.004028, 
2018-11-05T14:00:02Z,104.726465,89.46802,85.200809,94.472565,96.394072,96.461233,103.024826,112.157563,114.542215,111.796497,108.425384, 
2018-11-05T15:00:02Z,104.11155,87.724031,93.04312,92.19427,96.179801,94.360077,102.174085,110.548455,112.622098,110.059295,106.491701, 
2018-11-05T16:00:02Z,106.456343,88.706517,91.45983,91.103502,92.07665,91.52071,100.894995,109.702843,112.120225,109.584283,106.229966, 
2018-11-05T17:00:02Z,107.402886,90.143303,84.957705,86.891868,91.119445,91.94113,100.309208,109.462765,111.770507,109.143924,105.735953, 
2018-11-05T18:00:02Z,108.950138,91.371445,85.391229,82.397338,85.614965,88.378609,100.003498,109.345636,111.348283,108.688865,105.497344, 
2018-11-05T19:00:02Z,109.703085,96.243272,94.549501,93.165015,93.127044,94.415641,100.847494,109.249018,111.023059,108.33991,104.869253, 
2018-11-05T20:00:02Z,110.483731,94.682507,88.251746,81.857437,82.49391,88.030988,99.340937,108.81539,110.874806,108.175535,104.832413, 
2018-11-05T21:00:02Z,110.652529,95.424774,95.024442,102.707016,103.973155,101.770437,102.52911,109.47387,111.342147,108.583489,105.301884, 
2018-11-05T22:00:02Z,109.537715,93.90082,89.658684,94.033758,96.801815,90.908332,100.217261,109.362089,111.452573,108.726958,105.454822, 
2018-11-05T23:00:02Z,109.288569,92.833265,86.804424,80.780047,83.181898,89.109033,100.761882,109.894847,112.029198,109.275129,105.980464, 
2018-11-06T00:00:02Z,110.337983,92.212666,86.106982,81.900989,83.032865,89.641504,101.177368,110.596875,112.898295,110.217957,106.953349, 
2018-11-06T01:00:02Z,108.748088,92.183084,95.850888,93.590651,92.060524,94.053202,103.10361,112.09287,114.521954,112.241251,109.180174, 
2018-11-06T02:00:02Z,108.423177,90.11366,85.984131,89.486369,87.242472,90.446439,101.85977,111.159336,114.013189,111.970943,109.152171, 
2018-11-06T03:00:02Z,107.171995,89.874102,86.459544,85.065239,85.935312,90.35427,101.529132,111.150948,114.045346,112.273718,109.482252, 
2018-11-06T04:00:02Z,108.252591,91.484089,88.472823,84.505712,84.200872,89.864921,101.543297,111.102341,114.18596,112.143098,109.478684, 
2018-11-06T05:00:02Z,107.722179,90.677665,86.840267,83.749981,83.358268,89.782108,101.635416,110.88405,114.006986,111.888085,109.095065, 
2018-11-06T06:00:02Z,109.795251,93.262644,86.897625,81.96563,82.684209,89.289562,101.465271,111.043093,114.061526,112.015434,109.146526, 
2018-11-06T07:00:02Z,107.731425,92.658897,87.410251,83.789861,82.87956,89.586089,101.582229,111.071668,113.979999,111.895903,109.084698, 
2018-11-06T08:00:02Z,110.813419,94.095021,87.301429,84.135269,83.459389,89.566355,101.4055,110.872177,113.801088,111.719207,108.95506, 
2018-11-06T09:00:02Z,109.189304,93.314113,87.846976,85.579048,83.768793,89.408458,101.414815,111.137766,114.081932,111.931161,109.070554, 
2018-11-06T10:00:02Z,110.785417,94.693238,89.135723,86.120051,83.990112,89.533737,101.418415,110.93358,113.799346,111.819456,108.947639, 
2018-11-06T11:00:02Z,109.129988,93.070271,87.494884,85.93236,83.967213,89.392032,101.260642,110.947006,113.882525,111.867748,108.990119, 
2018-11-06T12:00:02Z,109.388172,92.192754,87.473592,86.013482,84.398225,89.002282,100.97353,110.709092,113.627809,111.682525,109.005209, 
2018-11-06T13:00:02Z,109.691364,92.268144,87.458716,82.86104,82.816993,90.360348,102.704037,112.461915,115.340218,113.159299,110.209958, 
2018-11-06T14:00:02Z,108.280419,101.484996,108.52133,109.218556,105.760331,105.350573,107.729422,113.079494,114.880879,112.473243,109.276889, 
2018-11-06T15:00:02Z,108.677412,91.595588,92.187563,90.297299,88.270486,90.428535,100.58972,109.91286,112.26076,109.469346,106.300424, 
2018-11-06T16:00:02Z,108.725962,94.8148,87.994547,82.207576,82.088787,88.255954,99.464587,109.134672,111.637099,109.064463,105.757844, 
2018-11-06T17:00:02Z,110.582757,101.646145,97.787768,96.339967,89.947416,90.133301,99.735021,108.971451,111.338116,108.570433,105.339072, 
2018-11-06T18:00:02Z,112.439984,103.69715,101.368709,98.560278,93.16029,91.039974,99.740815,108.479276,110.627862,107.971188,104.433152, 
2018-11-06T19:00:02Z,112.306431,97.181588,92.149396,89.272853,92.816487,95.083931,100.78713,108.523925,110.530806,107.990168,104.644701, 
2018-11-06T20:00:02Z,114.011762,98.768555,92.485999,91.052268,88.947631,89.597933,99.682753,108.287569,110.365827,107.653659,104.252853, 
2018-11-06T21:00:02Z,112.358679,97.634216,92.260124,93.694556,94.231389,93.08539,99.6439,108.076894,110.044294,107.37754,104.026866, 
2018-11-06T22:00:02Z,110.340781,94.12754,88.74416,82.839096,83.227221,88.219639,99.065949,108.24829,110.475469,107.690044,104.347919, 
2018-11-06T23:00:02Z,108.97993,92.892353,89.627979,89.240298,91.383395,93.710257,100.684311,108.842502,110.770151,108.003436,104.608827, 
2018-11-07T00:00:02Z,108.646559,92.056535,90.067051,87.885985,92.233644,95.311593,101.125386,109.503032,111.709063,109.06905,105.581422, 
