yyyy-mm-ddTHH:MM:SSZ, BB_0.02-24k, 
2018-11-11T04:58:20.000Z,119.02726, 
2018-11-11T05:58:18.000Z,118.99482, 
2018-11-11T06:58:18.000Z,118.67981, 
2018-11-11T07:58:18.000Z,118.793991, 
2018-11-11T08:58:17.000Z,119.160431, 
2018-11-11T09:58:17.000Z,119.305702, 
2018-11-11T10:58:17.000Z,119.582695, 
2018-11-11T11:58:16.000Z,120.226295, 
2018-11-11T12:58:16.000Z,120.855324, 
2018-11-11T13:58:16.000Z,120.303383, 
2018-11-11T14:58:15.000Z,117.955856, 
2018-11-11T15:58:15.000Z,117.810959, 
2018-11-11T16:58:15.000Z,117.254944, 
2018-11-11T17:58:14.000Z,117.611404, 
2018-11-11T18:58:14.000Z,117.522423, 
2018-11-11T19:58:14.000Z,117.713058, 
2018-11-11T20:58:12.000Z,117.517067, 
2018-11-11T21:58:12.000Z,117.153107, 
2018-11-11T22:58:12.000Z,117.783241, 
2018-11-11T23:58:11.000Z,118.380501, 
2018-11-12T00:58:11.000Z,120.151398, 
2018-11-12T01:58:11.000Z,120.052238, 
2018-11-12T02:58:10.000Z,119.555252, 
2018-11-12T03:58:10.000Z,119.265846, 
2018-11-12T04:58:10.000Z,118.989571, 
2018-11-12T05:58:08.000Z,118.783226, 
2018-11-12T06:58:08.000Z,118.760674, 
2018-11-12T07:58:08.000Z,118.77948, 
2018-11-12T08:58:07.000Z,118.786285, 
2018-11-12T09:58:07.000Z,119.184639, 
2018-11-12T10:58:07.000Z,119.254181, 
2018-11-12T11:58:06.000Z,119.674408, 
2018-11-12T12:58:06.000Z,120.555008, 
2018-11-12T13:58:06.000Z,119.945274, 
2018-11-12T14:58:04.000Z,117.946968, 
2018-11-12T15:58:04.000Z,117.598305, 
2018-11-12T16:58:04.000Z,116.763771, 
2018-11-12T17:58:03.000Z,116.427513, 
2018-11-12T18:58:03.000Z,116.489059, 
2018-11-12T19:58:03.000Z,116.224701, 
2018-11-12T20:58:03.000Z,116.007843, 
2018-11-12T21:58:03.000Z,115.692924, 
2018-11-12T22:58:03.000Z,115.646423, 
2018-11-12T23:58:02.000Z,116.428932, 
2018-11-13T00:58:02.000Z,118.817451, 
2018-11-13T01:58:02.000Z,118.465141, 
2018-11-13T02:58:00.000Z,118.119522, 
2018-11-13T03:58:00.000Z,117.946571, 
2018-11-13T04:58:00.000Z,117.852516, 
2018-11-13T05:57:59.000Z,118.177216, 
2018-11-13T06:57:59.000Z,118.023148, 
2018-11-13T07:57:59.000Z,118.065437, 
2018-11-13T08:57:58.000Z,118.45092, 
2018-11-13T09:57:58.000Z,118.150383, 
2018-11-13T10:57:58.000Z,118.409004, 
2018-11-13T11:57:57.000Z,119.241379, 
2018-11-13T12:57:57.000Z,119.792679, 
2018-11-13T13:57:57.000Z,119.486389, 
2018-11-13T14:57:56.000Z,117.609535, 
2018-11-13T15:57:56.000Z,116.943687, 
2018-11-13T16:57:56.000Z,116.891754, 
2018-11-13T17:57:55.000Z,116.948647, 
2018-11-13T18:57:55.000Z,116.122253, 
2018-11-13T19:57:55.000Z,115.953957, 
2018-11-13T20:57:54.000Z,117.097328, 
2018-11-13T21:57:54.000Z,116.355331, 
2018-11-13T22:57:54.000Z,116.656181, 
2018-11-13T23:57:53.000Z,117.191109, 
2018-11-14T00:57:53.000Z,119.401878, 
2018-11-14T01:57:53.000Z,118.723343, 
2018-11-14T02:57:52.000Z,118.20517, 
2018-11-14T03:57:52.000Z,118.014076, 
2018-11-14T04:57:52.000Z,117.915718, 
2018-11-14T05:57:51.000Z,117.879707, 
2018-11-14T06:57:51.000Z,117.751762, 
2018-11-14T07:57:51.000Z,118.134468, 
2018-11-14T08:57:51.000Z,118.166161, 
2018-11-14T09:57:51.000Z,118.269226, 
2018-11-14T10:57:51.000Z,118.681328, 
2018-11-14T11:57:50.000Z,119.169266, 
2018-11-14T12:57:50.000Z,120.149834, 
2018-11-14T13:57:50.000Z,119.777611, 
2018-11-14T14:57:48.000Z,117.550201, 
2018-11-14T15:57:48.000Z,118.093765, 
2018-11-14T16:57:48.000Z,116.47097, 
2018-11-14T17:57:48.000Z,116.900093, 
2018-11-14T18:57:48.000Z,117.228088, 
2018-11-14T19:57:48.000Z,116.496826, 
2018-11-14T20:57:47.000Z,116.416206, 
2018-11-14T21:57:47.000Z,116.720337, 
2018-11-14T22:57:47.000Z,117.373566, 
2018-11-14T23:57:45.000Z,117.507034, 
2018-11-15T00:57:45.000Z,119.354408, 
2018-11-15T01:57:45.000Z,118.559883, 
2018-11-15T02:57:44.000Z,118.089813, 
2018-11-15T03:57:44.000Z,118.105194, 
2018-11-15T04:57:44.000Z,118.448532, 
2018-11-15T05:57:43.000Z,118.400467, 
2018-11-15T06:57:43.000Z,118.466156, 
2018-11-15T07:57:43.000Z,118.328545, 
2018-11-15T08:57:42.000Z,118.682426, 
2018-11-15T09:57:42.000Z,118.719284, 
2018-11-15T10:57:42.000Z,119.19075, 
2018-11-15T11:57:41.000Z,119.589088, 
2018-11-15T12:57:41.000Z,120.548019, 
2018-11-15T13:57:41.000Z,120.596153, 
2018-11-15T14:57:39.000Z,121.249222, 
2018-11-15T15:57:39.000Z,117.947357, 
2018-11-15T16:57:39.000Z,117.168198, 
2018-11-15T17:57:38.000Z,117.604439, 
2018-11-15T18:57:38.000Z,117.328041, 
2018-11-15T19:57:38.000Z,117.679512, 
2018-11-15T20:57:36.000Z,117.842743, 
2018-11-15T21:57:36.000Z,117.847153, 
2018-11-15T22:57:36.000Z,118.284592, 
2018-11-15T23:57:35.000Z,118.949493, 
2018-11-16T00:57:35.000Z,121.15992, 
2018-11-16T01:57:35.000Z,120.53019, 
2018-11-16T02:57:34.000Z,120.23172, 
2018-11-16T03:57:34.000Z,120.531868, 
2018-11-16T04:57:34.000Z,120.604507, 
2018-11-16T05:57:33.000Z,120.097534, 
2018-11-16T06:57:33.000Z,120.219101, 
2018-11-16T07:57:33.000Z,119.815262, 
